V/t,Overlap
0.0,0.9998900276101483
0.5,0.9996853208073075
1.0,0.9999038907479765
1.5,0.997699830698604
2.0,0.9971103316009116
2.5,0.9985342875133557
3.0,0.9993565359598059
3.5,0.9997635862143053
4.0,0.9998892959581245
4.5,0.9998449534583732
5.0,0.999741361507369
5.5,0.9996686076207351
6.0,0.9996966822297827
6.5,0.9997603062180959
7.0,0.9998218949779824
7.5,0.9998768279919263
8.0,0.999904740238059
8.5,0.99989772109172
9.0,0.9998759833390743
9.5,0.9998579114541674
10.0,0.9998496940624806
