V/t,Overlap
0.0,0.9999659815729945
0.5,0.9954772846457921
1.0,0.9953504671532731
1.5,0.9984842511940356
2.0,0.9999270493625455
2.5,0.9990390775343218
3.0,0.997398779488149
3.5,0.9990675623976616
4.0,0.9998746592318887
4.5,0.9994434829291723
5.0,0.9987189168017501
5.5,0.9982846110465597
6.0,0.9983570083994465
6.5,0.9987739306082802
7.0,0.9992900398295304
7.5,0.9997142607246601
8.0,0.9998818992067845
8.5,0.9998155810737569
9.0,0.9996208964628039
9.5,0.999353440374693
10.0,0.9990330761255929
